title_text,Time_stamp,source
Singapore tightens rules for entry from China,2020-02-18T04:09:48Z,cnn
Hear doctor's message to those worried about coronavirus,2020-02-18T17:11:44Z,cnn
Countries plan evacuations from Diamond Princess in Japan as coronavirus cases increase,2020-02-18T01:57:54Z,cnn
Singapore tightens rules for entry from China,2020-02-18T04:09:48Z,cnn
See what Shanghai looks like as coronavirus fears linger,2020-02-18T12:58:47Z,cnn
American evacuated from Japan on a US charter flight says she didn't know people on the plane had tested positive until it landed,2020-02-18T08:39:27Z,cnn
Man who refused to evacuate ship responds to criticism,2020-02-18T00:14:14Z,cnn
The Point: Tom Cotton is playing a dangerous game with his coronavirus speculation,2020-02-18T16:54:23Z,cnn
US to treat Chinese state media like an arm of Beijing's government,2020-02-18T22:43:14Z,cnn
Fact-checking Tom Cotton's claims about the coronavirus,2020-02-18T13:10:52Z,cnn
Apple shares drop on coronavirus warning,2020-02-18T12:06:54Z,cnn
At least 140 travelers denied entry to US over coronavirus and thousands more screened,2020-02-18T00:07:49Z,cnn
Kyoto launches 'empty tourism' campaign amid coronavirus outbreak,2020-02-18T05:07:39Z,cnn
"Coronavirus death toll tops 1,800 as 780 million remain on lockdown in China",2020-02-18T03:59:45Z,cnn
"Japanese couple who visited Hawaii were diagnosed with coronavirus, and Delta is warning passengers on their flight",2020-02-18T16:38:02Z,cnn
The coronavirus outbreak will hurt Q1 earnings. Here's why investors shouldn't freak out just yet,2020-02-18T20:46:39Z,cnn
"5 things to know for February 18: White House, coronavirus, Boy Scouts, India, cancer",2020-02-18T11:11:25Z,cnn
"Nebraska's specialized medical care has handled Ebola, Monkeypox and SARS. Now it's taking on coronavirus",2020-02-18T03:31:38Z,cnn
Tom Cotton is playing a dangerous game with his coronavirus speculation,2020-02-18T16:54:23Z,cnn
Westerdam passenger infected with coronavirus: What we know and what we don't,2020-02-18T07:44:22Z,cnn
Study finds coronavirus is more contagious than SARS or MERS,2020-02-19T07:13:26Z,cnn
Passenger weeps after leaving cruise ship quarantine,2020-02-19T20:50:36Z,cnn
Drugmakers could be hit by the coronavirus. India is especially vulnerable,2020-02-19T10:00:38Z,cnn
Japan issues coronavirus guidelines to worried citizens as cases spike,2020-02-19T02:33:43Z,cnn
"With mom and daughters out of coronavirus quarantine, a Wisconsin family is happy to be together again",2020-02-19T19:36:53Z,cnn
Apple warned on coronavirus. Who's next?,2020-02-19T11:53:48Z,cnn
"Coronavirus death toll rises above 2,000 worldwide",2020-02-19T02:05:40Z,cnn
"In Hong Kong, the coronavirus outbreak is reopening political wounds",2020-02-19T02:43:14Z,cnn
Japan issues coronavirus guidelines to worried citizens as cases spike,2020-02-19T00:17:18Z,cnn
No US coronavirus cases were caught by airport temperature checks. Here's what has worked,2020-02-19T21:58:52Z,cnn
"Sputtering restaurant sales, obstacles to adoption, xenophobia: All the unexpected ways the coronavirus has impacted the world",2020-02-19T12:16:31Z,cnn
Jaguar Land Rover is flying parts out of China in effort keep its European factories open,2020-02-19T19:24:21Z,cnn
Nebraska doctors are providing coronavirus patients with chicken soup and Tylenol,2020-02-19T02:26:39Z,cnn
"5 things to know for February 19: Trump pardons, Dems, coronavirus, DOJ, Cameroon",2020-02-19T11:05:28Z,cnn
"Xi Jinping says battle against coronavirus making ""visible progress"" as death toll passes 2,000",2020-02-19T05:58:42Z,cnn
"What's moving markets today: February 19, 2020",2020-02-19T12:47:37Z,cnn
"Coronavirus global death toll rises to more than 2,100",2020-02-20T02:24:53Z,cnn
Olympic legends discuss coronavirus threat to Tokyo 2020,2020-02-20T14:51:07Z,cnn
Grandmother describes life under lockdown with toddler,2020-02-20T14:49:46Z,cnn
Novel coronavirus appears to be stabilizing in China amid fears of new outbreak,2020-02-20T03:34:19Z,cnn
She's back in the US. He's in quarantine with coronavirus,2020-02-20T10:39:40Z,cnn
Novel coronavirus appears to be stabilizing in China amid fears of new outbreak in Japan,2020-02-20T05:54:51Z,cnn
"Qantas shares spike, despite airline's warning of a $100 million hit from novel coronavirus",2020-02-20T03:51:50Z,cnn
"Coronavirus global death toll rises to more than 2,100",2020-02-20T02:17:45Z,cnn
Markets were totally calm. Then stocks fell off a cliff,2020-02-20T19:33:12Z,cnn
Maersk operates massive container ships. It's canceled 50 sailings over coronavirus,2020-02-20T14:43:19Z,cnn
"5 things to know for February 20: Dem debate, Germany, White House, coronavirus, fertility",2020-02-20T11:28:35Z,cnn
See family's emotional reunion after coronavirus quarantine,2020-02-20T01:11:07Z,cnn
Racism and xenophobia on the rise as coronavirus spreads,2020-02-21T16:41:56Z,cnn
Coronavirus concerns hurt cruise industry,2020-02-21T17:19:45Z,cnn
Global air traffic could fall this year for the first time in a decade,2020-02-21T04:29:25Z,cnn
"11 Americans at Omaha facility tested positive for coronavirus, hospital says",2020-02-21T02:52:09Z,cnn
The week in 31 photos,2020-02-21T13:32:23Z,cnn
Coronavirus infection cluster emerges outside mainland China,2020-02-21T05:46:18Z,cnn
Here's how the novel coronavirus outbreak unfolded,2020-02-21T10:53:15Z,cnn
South Korea coronavirus cases pass 150,2020-02-21T01:54:46Z,cnn
What's spreading faster than coronavirus in the US? Racist assaults and ignorant attacks against Asians,2020-02-21T01:07:10Z,cnn
Stocks slide as investors struggle with rising number of coronavirus cases outside of China,2020-02-21T17:13:37Z,cnn
CDC has confirmed 34 cases of novel coronavirus in the US,2020-02-21T19:01:27Z,cnn
A group of college students may face disciplinary action over a coronavirus-themed party,2020-02-21T21:21:47Z,cnn
China changed how it counts coronavirus cases again. Here's why,2020-02-21T08:09:37Z,cnn
Coronavirus cruise ship to undergo major cleaning before April sail,2020-02-21T17:22:30Z,cnn
"Novel coronavirus deaths top 2,200 as number of new cases in China rises again",2020-02-21T05:15:29Z,cnn
Investors are betting on a quick recovery from coronavirus. What if they're wrong?,2020-02-21T23:38:43Z,cnn
Bridal gowns could be in short supply for wedding season because of coronavirus,2020-02-21T21:30:06Z,cnn
Shanghai is China's economic juggernaut. Coronavirus has left it a city on edge,2020-02-21T00:12:07Z,cnn
"5 things to know for February 21: Russia, Roger Stone, coronavirus, Iran, Israel",2020-02-21T11:23:13Z,cnn
Life during the time of novel coronavirus,2020-02-22T12:15:54Z,cnn
Immunologist: Coronavirus has 'the makings of a pandemic',2020-02-22T15:14:35Z,cnn
Woman records racist coronavirus rant while on subway,2020-02-22T00:11:25Z,cnn
Fears over containing novel coronavirus grow as cases outside China spike,2020-02-22T06:09:54Z,cnn
Top US immunologist: We are clearly at the brink of a pandemic,2020-02-22T17:51:38Z,cnn
Spike linked to religious group,2020-02-22T04:27:41Z,cnn
Washington Post: Trump furious after officials let Americans with coronavirus return to US from Japan,2020-02-22T04:21:08Z,cnn
Coronavirus fears grow as global cases spike,2020-02-22T00:59:35Z,cnn
Coronavirus fears have pushed the US dollar to a three-year high,2020-02-22T12:47:37Z,cnn
A controversial religious group is at the center of South Korea's coronavirus outbreak,2020-02-22T12:28:36Z,cnn
White House expected to ask Congress for coronavirus funds this week,2020-02-23T21:37:05Z,cnn
Coronavirus cases spike in South Korea and Italy,2020-02-23T01:39:34Z,cnn
"From one-time Chinese capital to coronavirus epicenter, Wuhan has a long history that the world had forgotten",2020-02-23T00:46:13Z,cnn
Coronavirus cases soar in Italy as authorities scramble to find patient zero,2020-02-23T13:41:51Z,cnn
Judge blocks the transfer of coronavirus patients to a city in Southern California,2020-02-23T06:33:20Z,cnn
"Healthy Wuhan residents say they were forced into mass coronavirus quarantine, risking infection",2020-02-23T00:43:53Z,cnn
"Coronavirus cases spike in South Korea and Italy, as China outbreak continues to grow",2020-02-23T01:13:10Z,cnn
"From one-time Chinese capital to coronavirus epicenter, Wuhan has a long history that the world had forgotten",2020-02-23T00:04:48Z,cnn
Dow futures fall as coronavirus continues to spread,2020-02-24T00:09:43Z,cnn
"Schools, social events shut down over coronavirus fears",2020-02-24T09:59:27Z,cnn
Drones. Disinfecting robots. Supercomputers. Coronavirus is a test for China's tech industry,2020-02-24T04:35:37Z,cnn
Sweeping closures in Italian towns as coronavirus cases rise,2020-02-24T19:12:07Z,cnn
CNN reporter: People are essentially trapped in their towns,2020-02-24T13:02:11Z,cnn
Is it safe for travelers to visit Italy?,2020-02-24T14:52:04Z,cnn
"Under Trump, America is less prepared for an outbreak",2020-02-24T22:14:43Z,cnn
Dow futures fall as coronavirus continues to spread,2020-02-24T00:09:43Z,cnn
Coronavirus is fast becoming an 'economic pandemic',2020-02-24T17:27:28Z,cnn
Gold at a seven-year high and bond yields flirt with record lows as fear grips Wall Street,2020-02-24T14:28:59Z,cnn
Trump administration cancels plan to bring coronavirus patients to Alabama city following pushback from local officials,2020-02-24T21:57:18Z,cnn
Drones. Disinfecting robots. Supercomputers. The coronavirus outbreak is a test for China's tech industry,2020-02-24T04:35:37Z,cnn
"Gilead Sciences drug may help treat coronavirus symptoms, according to WHO",2020-02-24T19:05:10Z,cnn
"Novel coronavirus cases top 79,000 amid worsening outbreaks in South Korea and Italy",2020-02-24T03:57:55Z,cnn
Italy warns people not to panic-buy as coronavirus cases rise in north,2020-02-24T19:02:33Z,cnn
"Coronavirus outbreak has 'pandemic potential' but it's not there yet, WHO says",2020-02-24T18:56:50Z,cnn
South Korean cases surge past 600 as global epidemic grows,2020-02-24T02:43:50Z,cnn
Stranded lobsters and missing wedding dresses: The coronavirus is a daily reminder of China's global reach,2020-02-24T05:22:31Z,cnn
Coronavirus market freakout: Stocks flew way too close to the sun,2020-02-24T15:50:46Z,cnn
Dow futures drop more than 700 points as coronavirus spreads to Italy,2020-02-24T12:07:38Z,cnn
Markets plunge on pandemic fears,2020-02-25T05:08:51Z,cnn
Opinion: Trump's wishful thinking won't stop coronavirus impact,2020-02-25T23:14:55Z,cnn
Iran health official gets coronavirus. Watch video of him just a day before.,2020-02-25T16:22:26Z,cnn
Trump downplays coronavirus,2020-02-25T15:06:53Z,cnn
CDC warns coronavirus spread in US is inevitable,2020-02-25T21:47:41Z,cnn
Coronavirus lockdown turns Disney parks into ghost towns,2020-02-25T18:00:59Z,cnn
Donald Trump seems to know very little about the coronavirus,2020-02-25T16:32:05Z,cnn
Tenerife hotel on partial lockdown as Italian man tests positive for coronavirus,2020-02-25T14:03:14Z,cnn
Religious group at heart of virus cases in South Korea,2020-02-25T04:36:19Z,cnn
Armani show plays to empty room at Milan Fashion Week,2020-02-25T22:40:45Z,cnn
Trump privately vents over coronavirus even as he publicly insists everything is fine,2020-02-25T14:01:02Z,cnn
US-South Korea military exercises expected to be scaled back due to coronavirus,2020-02-25T19:31:06Z,cnn
'Mission: Impossible VII' stops production due to Coronavirus outbreak,2020-02-25T15:19:32Z,cnn
Jamie Dimon had a dream that coronavirus killed Davos attendees,2020-02-25T19:29:33Z,cnn
Global markets are still getting hammered by the coronavirus outbreak,2020-02-25T01:26:17Z,cnn
Major American companies are reeling from coronavirus,2020-02-25T00:06:36Z,cnn
Trump's wishful thinking won't stop coronavirus impact,2020-02-25T23:14:55Z,cnn
"New patients from Diamond Princess cruise ship push tally of US coronavirus cases to 53, CDC says",2020-02-25T14:34:00Z,cnn
Biotech company Moderna says its coronavirus vaccine is ready for initial tests,2020-02-25T14:37:47Z,cnn
Virus concern grips Washington as Trump dispenses optimism,2020-02-25T05:00:22Z,cnn
Cooper questions Trump's coronavirus response,2020-02-26T02:05:18Z,cnn
Coronavirus fears weigh on Asian markets,2020-02-26T01:47:32Z,cnn
White House weighs appointing coronavirus czar,2020-02-26T22:34:24Z,cnn
CNN's Sanjay Gupta answers top questions on coronavirus,2020-02-26T14:52:19Z,cnn
Your questions on the novel coronavirus answered,2020-02-26T08:50:13Z,cnn
Iran was already struggling with one crisis. Now it has the worst coronavirus outbreak in the Middle East,2020-02-26T16:51:19Z,cnn
Militaries on high alert due to coronavirus,2020-02-26T10:13:15Z,cnn
These girls have a message for people suffering from coronavirus,2020-02-26T23:35:44Z,cnn
Conflicting signals cast doubt on Trump team's coronavirus response,2020-02-26T05:01:14Z,cnn
How Japanese and English merged to create a new language,2020-02-26T02:38:05Z,cnn
San Francisco declares state of emergency over coronavirus. Here's what that means,2020-02-26T17:30:24Z,cnn
White House response to coronavirus stokes bipartisan frustration in Congress,2020-02-26T23:32:01Z,cnn
Stock market upheaval exacerbating Trump's concerns over coronavirus,2020-02-26T13:20:45Z,cnn
"Gwyneth Paltrow, star of 'Contagion,' is taking her coronavirus worries seriously",2020-02-26T17:17:30Z,cnn
Can Lysol and Clorox products kill the novel coronavirus? The answer is... complicated,2020-02-26T13:34:10Z,cnn
The best defense against coronavirus,2020-02-26T20:49:39Z,cnn
A growing list of US colleges are canceling study abroad programs because of the coronavirus,2020-02-26T14:32:58Z,cnn
Emergency measures worldwide as coronavirus fears spread,2020-02-26T02:04:26Z,cnn
The CDC has thoughts about soul patches and mutton chops. And they have to do with preventing coronavirus,2020-02-26T09:26:40Z,cnn
Danone and Diageo warnings show the food and beverage industry can't escape coronavirus,2020-02-26T13:40:27Z,cnn
Sanjay Gupta on Trump's coronavirus claim: That's not true,2020-02-27T12:24:32Z,cnn
Avlon: Coronavirus doesn't care about partisan politics,2020-02-27T14:31:43Z,cnn
Coronavirus cuts short students' semester abroad programs,2020-02-27T12:39:23Z,cnn
New coronavirus cases outside China exceed those inside,2020-02-27T02:21:00Z,cnn
HHS whistleblower claims US workers received coronavirus evacuees without proper precautions,2020-02-27T22:27:47Z,cnn
Here's why local governments are declaring emergencies,2020-02-27T02:56:55Z,cnn
Trump fires back at Dems' claim: How stupid - CNN,2020-02-27T00:39:46Z,cnn
"Dow drops over 1,000 points as world reacts to coronavirus - CNN",2020-02-27T23:48:42Z,cnn
Life around Italy's coronavirus 'red zone',2020-02-27T04:02:47Z,cnn
US may have first community-transmitted case of coronavirus,2020-02-27T07:01:28Z,cnn
"A global coronavirus: Travel bans, face masks, and fear",2020-02-27T11:35:33Z,cnn
Dow plunges 600 points,2020-02-27T14:51:48Z,cnn
"Patient in California did not have the travel history or exposure to another patient to be infected, CDC says",2020-02-27T08:50:47Z,cnn
Ebola czar calls White House's move an 'outrage',2020-02-27T21:34:56Z,cnn
White House's attempts to reduce government by slashing health programs could hurt response to coronavirus,2020-02-27T23:01:44Z,cnn
Trump puts Pence in charge of coronavirus efforts,2020-02-27T00:11:45Z,cnn
US-South Korean combined military drill postponed over coronavirus outbreak,2020-02-27T14:27:24Z,cnn
Trump downplays threat of coronavirus in the US,2020-02-27T13:17:49Z,cnn
Pence's history managing HIV crisis in Indiana under scrutiny now that he's overseeing coronavirus,2020-02-27T17:27:18Z,cnn
Top takeaways from CNN's presidential town halls in South Carolina,2020-02-27T16:58:34Z,cnn
Doctor says mask won't help against coronavirus. Here's why,2020-02-28T01:09:40Z,cnn
Best prevention against coronavirus is still washing your hands,2020-02-28T12:35:09Z,cnn
2020 Olympics threatened due to coronavirus,2020-02-28T16:43:26Z,cnn
What we know about potential vaccines and treatments,2020-02-28T22:16:54Z,cnn
CVS warns there could be a hand sanitizer shortage,2020-02-28T15:42:33Z,cnn
The global travel industry may not recover for years from the grounding of Chinese tourists,2020-02-28T10:19:53Z,cnn
Cooper condemns WH response to coronavirus: Ignorance doesn't kill viruses,2020-02-28T01:58:39Z,cnn
Stadiums & museums deserted amid coronavirus fears,2020-02-28T12:42:26Z,cnn
Coronavirus causing some families to home school,2020-02-28T02:49:42Z,cnn
Smartphone sales are collapsing in China. They could plunge 40% in Q1,2020-02-28T10:42:04Z,cnn
Stelter on Fox News coronavirus coverage: Wish I could laugh,2020-02-28T18:02:48Z,cnn
Burnett explains why Trump's press conference backfired,2020-02-28T00:57:27Z,cnn
What we know about potential vaccines and treatments,2020-02-28T22:21:42Z,cnn
CVS warns there could be a hand sanitizer shortage,2020-02-28T15:43:31Z,cnn
How Trump and his Fox News allies are infecting the public trust amid coronavirus concerns,2020-02-28T05:20:31Z,cnn
Trump stumbles in first efforts to control virus response as fear spreads and markets fall,2020-02-28T01:14:32Z,cnn
Pompeo clashes with lawmakers over coronavirus and Iran in tense hearing,2020-02-28T15:30:27Z,cnn
BTS and Green Day cancel concerts due to coronavirus,2020-02-28T19:04:05Z,cnn
It's likely there are more coronavirus cases in the United States than the numbers show,2020-02-28T22:42:46Z,cnn
'Amazing Race' production halted over coronavirus concerns,2020-02-28T20:36:21Z,cnn
Official reveals details about coronavirus death,2020-02-29T23:30:40Z,cnn
Pence: We could have more coronavirus deaths,2020-02-29T23:51:51Z,cnn
Trump updates media after first US coronavirus death,2020-02-29T19:16:06Z,cnn
Bloomberg to air coronavirus address in 3-minute TV ad,2020-02-29T22:53:07Z,cnn
"A woman in Oregon and a high school boy in Washington state are the latest presumptive positives, officials say",2020-02-29T10:51:52Z,cnn
HHS secretary: From day one this is what we predicted,2020-02-29T19:49:36Z,cnn
Authorities don't know how this woman got the coronavirus,2020-02-29T00:48:22Z,cnn
Inside South Korea's epicenter of the coronavirus outbreak - CNN,2020-02-29T02:58:49Z,cnn
The surgeon general wants Americans to stop buying face masks,2020-02-29T23:10:31Z,cnn
New US coronavirus cases of unknown origin,2020-02-29T06:55:00Z,cnn
Scientists race to develop coronavirus vaccine,2020-02-29T01:54:42Z,cnn
"Briton Nazanin Zaghari-Ratcliffe believes she contracted coronavirus in Iranian prison, her family says",2020-02-29T20:38:44Z,cnn
"Across Italy, families cope with lockdown",2020-02-29T16:27:39Z,cnn
Lemon slams Trump administration for reaction to coronavirus,2020-02-29T04:21:03Z,cnn
"Tax cuts, tariff relief and travel restrictions: White House hunts for options to contain virus fallout",2020-02-29T00:23:52Z,cnn
Trump to rally conservative base at CPAC amid escalating coronavirus concerns,2020-02-29T14:23:43Z,cnn
Trump to give update on US response to coronavirus,2020-02-29T18:15:15Z,cnn
Pence: 'We could have more' coronavirus deaths,2020-02-29T23:52:10Z,cnn
Juventus against Inter Milan among five additional Italian soccer matches postponed due to coronavirus,2020-02-29T13:48:56Z,cnn
State Department raises travel advisory for Italy amid coronavirus outbreak,2020-02-29T00:29:46Z,cnn
